"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
331,18.50000,-2.8327E-006,1.2788E-008,1.4922E-006,8.9225E-009,1.4922E-006,8.9225E-009
332,18.55000,-2.8174E-006,1.265E-008,1.4841E-006,8.8262E-009,1.4841E-006,8.8262E-009
333,18.60000,-2.8022E-006,1.2513E-008,1.4761E-006,8.7313E-009,1.4761E-006,8.7313E-009
334,18.65000,-2.7872E-006,1.2379E-008,1.4682E-006,8.6376E-009,1.4682E-006,8.6376E-009
335,18.70000,-2.7722E-006,1.2247E-008,1.4603E-006,8.5452E-009,1.4603E-006,8.5452E-009
336,18.75000,-2.7574E-006,1.2116E-008,1.4525E-006,8.454E-009,1.4525E-006,8.454E-009
337,18.80000,-2.7427E-006,0.000000012,1.4447E-006,8.364E-009,1.4447E-006,8.364E-009
338,18.85000,-2.7281E-006,1.186E-008,0.000001437,8.2751E-009,0.000001437,8.2751E-009
339,18.90000,-2.7136E-006,1.1734E-008,1.4294E-006,8.1875E-009,1.4294E-006,8.1875E-009
340,18.95000,-2.6993E-006,1.161E-008,1.4218E-006,8.101E-009,1.4218E-006,8.101E-009
341,19.00000,-0.000002685,1.1488E-008,1.4143E-006,0.000000008,1.4143E-006,0.000000008
342,19.05000,-2.6709E-006,1.1367E-008,1.4069E-006,7.9314E-009,1.4069E-006,7.9314E-009
343,19.10000,-2.6569E-006,1.1248E-008,1.3995E-006,7.8483E-009,1.3995E-006,7.8483E-009
344,19.15000,-0.000002643,1.113E-008,1.3921E-006,7.7662E-009,1.3921E-006,7.7662E-009
345,19.20000,-2.6292E-006,0.000000011,1.3848E-006,7.6852E-009,1.3848E-006,7.6852E-009
346,19.25000,-2.6155E-006,1.0899E-008,1.3776E-006,7.6052E-009,1.3776E-006,7.6052E-009
347,19.30000,-2.6019E-006,1.0786E-008,1.3705E-006,7.5263E-009,1.3705E-006,7.5263E-009
348,19.35000,-2.5884E-006,1.0674E-008,1.3634E-006,7.4484E-009,1.3634E-006,7.4484E-009
349,19.40000,-2.5751E-006,1.0564E-008,1.3563E-006,7.3715E-009,1.3563E-006,7.3715E-009
350,19.45000,-2.5618E-006,1.0455E-008,1.3493E-006,7.2956E-009,1.3493E-006,7.2956E-009
351,19.50000,-2.5486E-006,1.0348E-008,1.3424E-006,7.2207E-009,1.3424E-006,7.2207E-009
352,19.55000,-2.5355E-006,1.0242E-008,1.3355E-006,7.1467E-009,1.3355E-006,7.1467E-009
353,19.60000,-2.5226E-006,1.0137E-008,1.3286E-006,7.0736E-009,1.3286E-006,7.0736E-009
354,19.65000,-2.5097E-006,0.00000001,1.3218E-006,0.000000007,1.3218E-006,0.000000007
355,19.70000,-2.4969E-006,9.9317E-009,1.3151E-006,6.9303E-009,1.3151E-006,6.9303E-009
356,19.75000,-2.4843E-006,9.831E-009,1.3084E-006,6.86E-009,1.3084E-006,6.86E-009
357,19.80000,-2.4717E-006,9.7314E-009,1.3018E-006,6.7906E-009,1.3018E-006,6.7906E-009
358,19.85000,-2.4592E-006,9.6332E-009,1.2952E-006,6.722E-009,1.2952E-006,6.722E-009
359,19.90000,-2.4468E-006,9.5361E-009,1.2887E-006,6.6543E-009,1.2887E-006,6.6543E-009
360,19.95000,-2.4345E-006,9.4403E-009,1.2822E-006,6.5875E-009,1.2822E-006,6.5875E-009
361,20.00000,-2.4223E-006,9.3457E-009,1.2758E-006,6.5214E-009,1.2758E-006,6.5214E-009
362,20.05000,-2.4102E-006,9.2522E-009,1.2694E-006,6.4563E-009,1.2694E-006,6.4563E-009
363,20.10000,-2.3982E-006,9.1599E-009,0.000001263,6.3919E-009,0.000001263,6.3919E-009
364,20.15000,-2.3863E-006,9.0688E-009,1.2567E-006,6.3283E-009,1.2567E-006,6.3283E-009
365,20.20000,-2.3744E-006,0.000000009,1.2505E-006,6.2655E-009,1.2505E-006,6.2655E-009
366,20.25000,-2.3627E-006,8.8899E-009,1.2443E-006,6.2034E-009,1.2443E-006,6.2034E-009
367,20.30000,-0.000002351,8.802E-009,1.2382E-006,6.1422E-009,1.2382E-006,6.1422E-009
368,20.35000,-2.3394E-006,8.7153E-009,1.2321E-006,6.0817E-009,1.2321E-006,6.0817E-009
369,20.40000,-2.3279E-006,8.6296E-009,0.000001226,0.000000006,0.000001226,0.000000006
370,20.45000,-2.3165E-006,8.545E-009,0.00000122,0.000000006,0.00000122,0.000000006
371,20.50000,-2.3052E-006,8.4614E-009,0.000001214,5.9045E-009,0.000001214,5.9045E-009
372,20.55000,-0.000002294,8.3788E-009,1.2081E-006,5.8469E-009,1.2081E-006,5.8469E-009
373,20.60000,-2.2828E-006,8.2972E-009,1.2022E-006,5.79E-009,1.2022E-006,5.79E-009
374,20.65000,-2.2717E-006,8.2166E-009,1.1964E-006,5.7337E-009,1.1964E-006,5.7337E-009
